place_id,gas_type,price,longitude,latitude,date
11703,regular,22.95,-101.6634,21.14916,2026-05-22
11703,premium,27.9,-101.6634,21.14916,2026-05-22
11702,regular,24.7,-107.7192,24.75731,2026-05-22
11702,premium,30.3,-107.7192,24.75731,2026-05-22
11702,diesel,27.99,-107.7192,24.75731,2026-05-22
11701,regular,20.49,-97.50779,25.84436,2026-05-22
11701,diesel,27,-97.50779,25.84436,2026-05-22
11700,regular,23.58,-92.89879,16.54859,2026-05-22
11700,premium,27.85,-92.89879,16.54859,2026-05-22
11700,diesel,27.45,-92.89879,16.54859,2026-05-22
11699,regular,22.29,-112.1722,30.72127,2026-05-22
11699,premium,27.45,-112.1722,30.72127,2026-05-22
11697,premium,27.79,-96.98308,18.90257,2026-05-22
11697,regular,23.99,-96.98308,18.90257,2026-05-22
11697,diesel,27.99,-96.98308,18.90257,2026-05-22
11696,regular,22.18,-115.413,32.63746,2026-05-22
11696,premium,26.65,-115.413,32.63746,2026-05-22
11696,diesel,25.95,-115.413,32.63746,2026-05-22
11695,diesel,27.99,-96.96716,18.88644,2026-05-22
11695,regular,23.99,-96.96716,18.88644,2026-05-22
11695,premium,27.79,-96.96716,18.88644,2026-05-22
11694,regular,23.99,-96.85984,18.85467,2026-05-22
11694,premium,27.79,-96.85984,18.85467,2026-05-22
11694,diesel,27.99,-96.85984,18.85467,2026-05-22
3153,regular,21.99,-115.4234,32.56962,2026-05-22
3153,premium,28.29,-115.4234,32.56962,2026-05-22
3153,diesel,27.59,-115.4234,32.56962,2026-05-22
11693,diesel,27.65,-96.9775,18.90248,2026-05-22
11693,regular,23.95,-96.9775,18.90248,2026-05-22
11693,premium,28.25,-96.9775,18.90248,2026-05-22
11692,regular,23.9,-97.57682,19.84059,2026-05-22
11692,premium,27.99,-97.57682,19.84059,2026-05-22
11692,diesel,27,-97.57682,19.84059,2026-05-22
11691,regular,23.89,-116.9167,32.54488,2026-05-22
11691,premium,28.89,-116.9167,32.54488,2026-05-22
11691,diesel,27,-116.9167,32.54488,2026-05-22
11691,diesel,24.99,-116.9167,32.54488,2026-05-22
11690,regular,23.59,-96.92522,18.88586,2026-05-22
11690,premium,27.79,-96.92522,18.88586,2026-05-22
11690,diesel,27.99,-96.92522,18.88586,2026-05-22
11395,regular,23.99,-103.2458,20.44519,2026-05-22
11395,premium,26.18,-103.2458,20.44519,2026-05-22
11395,diesel,25.99,-103.2458,20.44519,2026-05-22
11394,regular,24.99,-100.4155,20.64242,2026-05-22
11394,premium,29.99,-100.4155,20.64242,2026-05-22
11394,diesel,27,-100.4155,20.64242,2026-05-22
11393,regular,23.79,-102.2159,17.95762,2026-05-22
11393,premium,27.36,-102.2159,17.95762,2026-05-22
11393,diesel,26.9,-102.2159,17.95762,2026-05-22
11392,regular,23.99,-99.27259,19.54499,2026-05-22
11392,premium,29.49,-99.27259,19.54499,2026-05-22
11392,diesel,27.49,-99.27259,19.54499,2026-05-22
11391,diesel,27.59,-116.8113,32.46336,2026-05-22
11391,regular,21.99,-116.8113,32.46336,2026-05-22
11391,premium,28.99,-116.8113,32.46336,2026-05-22
11390,regular,23.99,-106.143,28.72277,2026-05-22
11390,premium,28.99,-106.143,28.72277,2026-05-22
11390,diesel,26.99,-106.143,28.72277,2026-05-22
2802,diesel,27.59,-116.9096,32.5456,2026-05-22
2802,premium,29.99,-116.9096,32.5456,2026-05-22
2802,regular,23.99,-116.9096,32.5456,2026-05-22
11389,regular,20.85,-99.55907,27.51252,2026-05-22
11389,premium,26.49,-99.55907,27.51252,2026-05-22
11388,diesel,27.99,-102.8845,22.36256,2026-05-22
11388,regular,23.99,-102.8845,22.36256,2026-05-22
11388,premium,28.99,-102.8845,22.36256,2026-05-22
11387,premium,28.99,-100.3441,20.65376,2026-05-22
11387,regular,23.99,-100.3441,20.65376,2026-05-22
11387,diesel,27,-100.3441,20.65376,2026-05-22
11386,premium,27.99,-100.0988,20.46232,2026-05-22
11386,regular,23.97,-100.0988,20.46232,2026-05-22
11386,diesel,26.99,-100.0988,20.46232,2026-05-22
11385,regular,23.99,-106.0024,28.68087,2026-05-22
11385,premium,28.99,-106.0024,28.68087,2026-05-22
11385,diesel,27.99,-106.0024,28.68087,2026-05-22
11384,regular,23.99,-103.3401,20.49921,2026-05-22
11384,premium,28.79,-103.3401,20.49921,2026-05-22
11384,diesel,27.99,-103.3401,20.49921,2026-05-22
11383,diesel,29.39,-101.1843,20.56469,2026-05-22
11383,premium,29.69,-101.1843,20.56469,2026-05-22
11383,regular,27.99,-101.1843,20.56469,2026-05-22
11382,regular,23.99,-98.22421,18.99373,2026-05-22
11382,premium,28.09,-98.22421,18.99373,2026-05-22
11381,regular,23.5,-98.19596,18.98086,2026-05-22
11381,premium,27.99,-98.19596,18.98086,2026-05-22
11380,diesel,27,-105.6214,28.39145,2026-05-22
11380,regular,23.99,-105.6214,28.39145,2026-05-22
2848,regular,23.29,-117.0136,32.44267,2026-05-22
2848,diesel,27.99,-117.0136,32.44267,2026-05-22
2848,premium,28.99,-117.0136,32.44267,2026-05-22
11379,regular,23.99,-108.892,25.97002,2026-05-22
11379,premium,28.99,-108.892,25.97002,2026-05-22
11379,diesel,28,-108.892,25.97002,2026-05-22
11378,regular,23.89,-109.9432,27.48315,2026-05-22
11378,premium,28.79,-109.9432,27.48315,2026-05-22
11378,diesel,26.97,-109.9432,27.48315,2026-05-22
11376,regular,23.95,-99.03283,22.00731,2026-05-22
11376,premium,28.65,-99.03283,22.00731,2026-05-22
11376,diesel,27.49,-99.03283,22.00731,2026-05-22
11377,regular,23.99,-105.4395,28.38552,2026-05-22
11377,diesel,27,-105.4395,28.38552,2026-05-22
11375,regular,23.99,-92.14404,15.65085,2026-05-22
11375,premium,29.79,-92.14404,15.65085,2026-05-22
11375,diesel,27,-92.14404,15.65085,2026-05-22
11374,regular,23.99,-99.17805,17.59987,2026-05-22
11374,premium,28.47,-99.17805,17.59987,2026-05-22
11374,diesel,27.5,-99.17805,17.59987,2026-05-22
11373,regular,23.99,-92.04084,15.68581,2026-05-22
11373,premium,29.79,-92.04084,15.68581,2026-05-22
11373,diesel,27,-92.04084,15.68581,2026-05-22
11372,regular,23.95,-99.00449,21.97791,2026-05-22
11372,premium,28.65,-99.00449,21.97791,2026-05-22
11372,diesel,27.49,-99.00449,21.97791,2026-05-22
11371,regular,23.99,-92.00428,15.68327,2026-05-22
11371,premium,29.79,-92.00428,15.68327,2026-05-22
11371,diesel,27,-92.00428,15.68327,2026-05-22
11370,regular,23.99,-89.02056,20.93346,2026-05-22
11370,diesel,27,-89.02056,20.93346,2026-05-22
2789,diesel,28.49,-101.6885,21.09397,2026-05-22
2789,regular,23.99,-101.6885,21.09397,2026-05-22
2789,premium,30.49,-101.6885,21.09397,2026-05-22
11368,regular,23.99,-111.3909,28.56849,2026-05-22
11368,diesel,27.99,-111.3909,28.56849,2026-05-22
11367,regular,23.95,-99.01095,21.9984,2026-05-22
11367,premium,28.65,-99.01095,21.9984,2026-05-22
11367,diesel,27.49,-99.01095,21.9984,2026-05-22
11366,regular,23.99,-98.78646,21.26046,2026-05-22
11366,premium,27.74,-98.78646,21.26046,2026-05-22
11366,diesel,27,-98.78646,21.26046,2026-05-22
11365,regular,23.99,-99.90763,19.83158,2026-05-22
11365,premium,28.99,-99.90763,19.83158,2026-05-22
11365,diesel,28.28,-99.90763,19.83158,2026-05-22
11364,regular,23.99,-92.24305,15.36959,2026-05-22
11364,premium,29.69,-92.24305,15.36959,2026-05-22
11364,diesel,27,-92.24305,15.36959,2026-05-22
11362,regular,23.99,-98.80241,21.2576,2026-05-22
11362,premium,27.74,-98.80241,21.2576,2026-05-22
11362,diesel,27,-98.80241,21.2576,2026-05-22
11361,regular,23.99,-91.99814,15.70463,2026-05-22
11361,premium,29.79,-91.99814,15.70463,2026-05-22
11361,diesel,27,-91.99814,15.70463,2026-05-22
11360,regular,23.99,-106.4312,23.93204,2026-05-22
11360,premium,28.99,-106.4312,23.93204,2026-05-22
11360,diesel,28.69,-106.4312,23.93204,2026-05-22
3088,regular,23.99,-100.9646,20.48971,2026-05-22
3088,premium,28.8,-100.9646,20.48971,2026-05-22
3088,diesel,27,-100.9646,20.48971,2026-05-22
11359,regular,23.99,-93.10823,16.6973,2026-05-22
11359,premium,28.69,-93.10823,16.6973,2026-05-22
11359,diesel,27,-93.10823,16.6973,2026-05-22
11358,regular,23.99,-98.75262,21.25004,2026-05-22
11358,premium,27.74,-98.75262,21.25004,2026-05-22
11358,diesel,27,-98.75262,21.25004,2026-05-22
11357,regular,23.99,-93.17366,16.71996,2026-05-22
11357,premium,28.69,-93.17366,16.71996,2026-05-22
11357,diesel,27,-93.17366,16.71996,2026-05-22
11356,regular,23.99,-107.695,24.75563,2026-05-22
11356,premium,28.3,-107.695,24.75563,2026-05-22
11356,diesel,27.9,-107.695,24.75563,2026-05-22
11355,regular,23.99,-100.2647,25.77071,2026-05-22
11355,premium,29.99,-100.2647,25.77071,2026-05-22
11354,regular,24,-103.7735,21.81635,2026-05-22
11354,premium,29.2,-103.7735,21.81635,2026-05-22
11354,diesel,28,-103.7735,21.81635,2026-05-22
11353,diesel,27.39,-107.3562,24.75106,2026-05-22
11353,regular,23.29,-107.3562,24.75106,2026-05-22
11353,premium,28.39,-107.3562,24.75106,2026-05-22
11345,regular,20.49,-100.5238,28.69213,2026-05-22
11345,premium,25.49,-100.5238,28.69213,2026-05-22
11345,diesel,27.99,-100.5238,28.69213,2026-05-22
11352,regular,19.19,-106.3824,31.59713,2026-05-22
11352,premium,23.29,-106.3824,31.59713,2026-05-22
11352,diesel,26.99,-106.3824,31.59713,2026-05-22
11346,regular,23.99,-115.7258,30.0602,2026-05-22
11346,premium,28.99,-115.7258,30.0602,2026-05-22
11346,diesel,28.4,-115.7258,30.0602,2026-05-22
3121,regular,23.99,-99.11617,23.76078,2026-05-22
3121,premium,28.71,-99.11617,23.76078,2026-05-22
11348,regular,23.99,-92.23011,15.37474,2026-05-22
11348,premium,29.39,-92.23011,15.37474,2026-05-22
11348,diesel,27,-92.23011,15.37474,2026-05-22
11351,regular,19.25,-106.4767,31.67629,2026-05-22
11351,premium,23.39,-106.4767,31.67629,2026-05-22
11351,diesel,26.99,-106.4767,31.67629,2026-05-22
11350,regular,24.5,-110.3171,24.13963,2026-05-22
11350,premium,30.1,-110.3171,24.13963,2026-05-22
11350,diesel,27.99,-110.3171,24.13963,2026-05-22
11349,regular,24.5,-110.3254,24.13107,2026-05-22
11349,premium,30.1,-110.3254,24.13107,2026-05-22
11347,regular,23.99,-91.83796,18.64749,2026-05-22
11347,premium,27.99,-91.83796,18.64749,2026-05-22
11347,diesel,27,-91.83796,18.64749,2026-05-22
